spread_window,zscore_window,entry_threshold,exit_threshold,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,num_trades,rank,pair_name,ticker1,ticker2
30,50,2.0,0.5,0.0045266085389384534,0.0018923719233192582,1.1982732364563269,-0.0010244482581875046,0.8461538461538461,13,14,MA_PPG,MA,PPG
30,70,2.5,0.5,0.0041671149296795195,0.0017422652376475334,1.1323865750359308,-0.00018505644277292118,0.8,5,15,MA_PPG,MA,PPG
30,70,2.0,1.0,0.0038314785972736716,0.0016020919619463836,1.104291541372855,-0.001024065735281769,0.8333333333333334,12,16,MA_PPG,MA,PPG
70,70,2.0,0.5,0.0024914612501623925,0.00104218289813085,1.0772904724152161,-0.0003986353238372068,0.625,8,17,MA_PPG,MA,PPG
30,70,1.5,0.5,0.0030457935480051675,0.0012738562778142892,1.0119252647197274,-0.0009003617604517121,0.7692307692307693,13,18,MA_PPG,MA,PPG
30,50,2.5,0.5,0.0038169983542963746,0.001596043901366473,0.9617245622613436,-0.0010240804924884037,0.875,8,19,MA_PPG,MA,PPG
50,50,2.0,0.0,0.0028009721694236215,0.0011715466931359053,0.9554198873425784,-0.0007827746084433019,0.6666666666666666,12,20,MA_PPG,MA,PPG
50,70,1.5,0.0,0.0032802726467150204,0.0013718302669465388,0.9399552724370025,-0.0008111270805169593,0.6666666666666666,12,21,MA_PPG,MA,PPG
70,70,2.5,0.0,0.0015032090536270697,0.0006289755497859151,0.937731662193954,0.0,1.0,4,22,MA_PPG,MA,PPG
30,70,2.5,1.0,0.00279461385183924,0.0011688893917234378,0.911957918876407,-0.0005848477305180348,0.8,5,23,MA_PPG,MA,PPG
50,70,2.5,1.0,0.0012501634192997881,0.0005231341609857054,0.8043828523015978,-0.0004223922504656754,0.6666666666666666,6,24,MA_PPG,MA,PPG
30,50,1.5,0.5,0.002009444085727446,0.0008406718029767557,0.6152688687931207,-0.0011473041851643559,0.7647058823529411,17,25,MA_PPG,MA,PPG
30,70,1.0,0.5,0.0016140624138822023,0.0006753372834618077,0.6133383390396728,-0.0011945348471355348,0.6470588235294118,17,26,MA_PPG,MA,PPG
70,70,2.5,0.5,0.0006734873126041203,0.0002818697455437835,0.5675184585928315,-0.0001594694630266546,0.75,4,27,MA_PPG,MA,PPG
50,50,2.5,0.0,0.0009594695165673329,0.00040152643570778856,0.5228804191778743,-0.000798837395635153,0.6666666666666666,6,28,MA_PPG,MA,PPG
70,50,2.5,0.0,0.0005334922549493786,0.00022328771508206557,0.4785759633289962,-0.00028612071728143504,0.5,6,29,MA_PPG,MA,PPG
70,70,1.5,0.0,0.0010458225484081777,0.00043765316141874955,0.4521944923398539,-0.0010060622094050307,0.6,10,30,MA_PPG,MA,PPG
30,50,1.0,0.0,0.0012858854117464215,0.0005380765402220877,0.43961494393521666,-0.001079451719984909,0.6470588235294118,17,31,MA_PPG,MA,PPG
30,50,2.5,1.0,0.0009698303817606939,0.00040586111148588344,0.3535143938041571,-0.0013898895944389673,0.625,8,32,MA_PPG,MA,PPG
70,50,2.0,0.0,0.0007888185436764615,0.0003301274246534369,0.29568857214088623,-0.0017106334046809526,0.6,10,33,MA_PPG,MA,PPG
30,30,2.0,0.0,0.0014092425256488786,0.0005896739883604063,0.2875322468560728,-0.002733853617324663,0.7,20,34,MA_PPG,MA,PPG
50,70,1.0,0.0,0.0008331989942202926,0.00034869653351354835,0.26447244233752276,-0.0012281685684258532,0.6153846153846154,13,35,MA_PPG,MA,PPG
50,50,2.0,0.5,0.000712889107613737,0.0002983568765795308,0.25521452238749637,-0.001233788728301446,0.5833333333333334,12,36,MA_PPG,MA,PPG
50,70,1.5,0.5,0.00042050377292369377,0.0001760033227631297,0.15380417047830797,-0.0011390174879564387,0.5833333333333334,12,37,MA_PPG,MA,PPG
50,50,1.5,0.0,0.00042806885845420766,0.0001791693218393675,0.13663987946564884,-0.00176184378318495,0.6,15,38,MA_PPG,MA,PPG
70,70,1.0,0.0,0.0003672341216901259,0.00015370950370918735,0.13419403821132858,-0.0011550616204362054,0.6923076923076923,13,39,MA_PPG,MA,PPG
70,70,2.0,1.0,0.00013389747578301467,5.604792461899599e-05,0.09315012164064174,-0.0006860792253919203,0.625,8,40,MA_PPG,MA,PPG
